Category ID,Category Name,Category Slug,Category Parent,Category Description
3f43939994f344b0adaee7b48a25d4bd,Sporty,sporty,,"<span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">Vítejte v kategorii <strong>sport</strong>! U nás najdete široký výběr <strong>sportovního vybavení</strong>, které vám pomůže dosáhnout svých cílů. Od kvalitních <strong>sportovních oděvů, obuvi po moderní fitness přístroje a doplňky</strong>. S naším sortimentem budete připraveni na každý zápas, trénink nebo dobrodružství. Kvalita, výkon a spokojenost našich zákazníků jsou pro nás prioritou. Vyberte si svůj vítězný výběr v našem sportovním e-shopu!""</span></span></span>"
9c4678f0eb08467aa21ba85baf72c929,Fotbal,fotbal,3f43939994f344b0adaee7b48a25d4bd,"<span style=""font-size:14px;""><span style=""font-family:verdana,geneva,sans-serif;"">Vítejte v naší kategorii <strong>fotbal</strong>. Nabízíme široký výběr <strong>fotbalového vybavení</strong> pro hráče všech úrovní. Od <a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky""><span style=""color:#800080;"">kopaček</span></a><span style=""color:#800080;"">, </span><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/fotbalove-mice""><span style=""color:#800080;"">fotbalových míčů</span></a><span style=""color:#800080;"">, </span><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/fotbalovy-brankar""><span style=""color:#800080;"">vybavení pro brankáře</span></a><span style=""color:#800080;""> a </span><a href=""https://65410.fcdemo.cz/sporty/fotbal/fotbalove-obleceni""><span style=""color:#800080;"">dresy</span></a>, u nás najdete vše, co potřebujete pro svůj fotbalový zážitek. Připravte se na nezapomenutelné fotbalové zážitky a dosáhněte svých fotbalových snů s naším <strong>kvalitním fotbalovým vybavením.</strong></span></span>"
322b5558432243c0944defe45f907768,Kopačky,kopacky,9c4678f0eb08467aa21ba85baf72c929,"<span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">Objevte širokou škálu <strong>kopaček</strong> v naší kategorii pro <strong>fotbalové kopačky</strong>. Vyberte si mezi různými stylizacemi, materiály a technologiemi, které vám pomohou maximalizovat kontrolu nad míčem, rychlost, trakci a pohodlí během hry. Bez ohledu na váš herní styl a povrch, u nás najdete </span></span></span><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky/lisovky""><span style=""color:#800080;"">kopačky pro přírodní trávu (lisovky)</span></a></strong></span></span><span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong>, </strong></span></span></span><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky/turfy""><span style=""color:#800080;"">syntetické povrchy (turfy)</span></a></strong></span></span><span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong>, </strong></span></span></span><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky/lisovky""><span style=""color:#800080;"">kopačky na umělou trávu</span></a></strong></span></span><span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong>, </strong></span></span></span><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky/koliky-a-lisokoliky""><span style=""color:#800080;"">kolíky pro přírodní mokrou blátivou trávu</span></a></strong></span></span><span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong> i </strong></span></span></span><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong><a href=""https://www.sportovni-eshop.cz/sporty/fotbal/kopacky/salovky""><span style=""color:#800080;"">sálové kopačky pro hru v hale</span></a></strong></span></span><span style=""color:#000000;""><span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;""><strong>.</strong></span></span></span>"
1ba42afc-fbec-4599-8f57-e81421bb9889,Tenis,tenis,3f43939994f344b0adaee7b48a25d4bd,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">Naše kategorie tenisového vybavení na <a href=""https://www.sportovni-eshop.cz/""><span style=""color:#800080;""><strong>Sportovni-eshop.cz</strong></span></a> nabízí vše, co potřebujete k tomu, abyste excelovali na tenisovém hřišti. Máme široký výběr <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-rakety""><span style=""color:#800080;"">tenisových raket</span></a>, <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-boty""><span style=""color:#800080;"">tenisové obuvi</span></a>, <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-mice""><span style=""color:#800080;"">tenisových míčů</span></a><a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-mice"">,</a> <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-tasky""><span style=""color:#800080;"">tenisových tašek</span></a><a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-tasky"">,</a> <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-obleceni""><span style=""color:#800080;"">tenisového oblečení</span></a> a <a href=""https://www.sportovni-eshop.cz/sporty/tenis/tenisove-dopnky""><span style=""color:#800080;"">tenisových doplňků</span></a> od předních značek. Bez ohledu na váš herní styl nebo úroveň, u nás si určitě vyberete.</span></span>"
2375d537-b747-46c0-b229-ce5fbd6addf1,Basketbal,basketbal,3f43939994f344b0adaee7b48a25d4bd,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">U nás v <strong>Sportovni-eshop.cz</strong> najdete široký výběr <strong>basketbalového vybavení</strong>, které vám pomůže dosáhnout excelentního výkonu na hřišti. Nabízíme kvalitní <strong><a href=""https://www.sportovni-eshop.cz/sporty/basketbal/basketbalove-mice""><span style=""color:#800080;"">basketbalové míče</span></a>, <a href=""https://www.sportovni-eshop.cz/sporty/basketball/basketbalove-boty""><span style=""color:#800080;"">basketbalové boty</span></a>, <a href=""https://www.sportovni-eshop.cz/basketbalove-obleceni""><span style=""color:#800080;"">basketbalové oblečení</span></a> a <a href=""https://www.sportovni-eshop.cz/basketbalove-obleceni""><span style=""color:#800080;"">basketbalových doplňků</span></a></strong> od předních značek. Bez ohledu na to, zda jste začátečník, nadšený hráč nebo profesionál, u nás najdete to nejlepší vybavení pro vaši hru.</span></span>"
6852d4e4-8d5e-4947-8f84-2859e9ec370d,Bojové sporty,bojove-sporty,3f43939994f344b0adaee7b48a25d4bd,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">V naší kategorii <strong>bojových sportů</strong> najdete veškeré potřebné vybavení pro <strong>bojová umění a bojové sporty</strong>. Bez ohledu na to, jestli se věnujete <strong>boxu, MMA, karate, judu nebo jinému bojovému sportu</strong>, u nás najdete to, co potřebujete.</span></span>"
fc87da59-7f41-45de-863f-898d3c21a5e5,Běh,beh,3f43939994f344b0adaee7b48a25d4bd,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">V naší kategorii pro <strong>běh</strong> najdete vše, co potřebujete pro svůj běžecký trénink a závody. Nabízíme široký výběr <strong>běžecké obuvi, oblečení a doplňků</strong>, které vám pomohou dosáhnout vašich <strong>běžeckých cílů</strong>. Bez ohledu na to, zda běháte na krátké nebo dlouhé trati, ve městě nebo v přírodě, máme pro vás správné vybavení. </span></span>"
2585e05c-7b65-4e58-97ef-d2d34c8f5265,Tenisové rakety,tenisove-rakety,1ba42afc-fbec-4599-8f57-e81421bb9889,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">V naší kategorii tenisových raket na <strong>Sportovni-eshop.c</strong>z najdete širokou škálu kvalitních <strong>tenisových raket</strong> pro všechny typy hráčů. Nabízíme rakety pro začátečníky, pokročilé i profesionály, které vám pomohou dosáhnout maximálního výkonu na kurtu. <strong>Slevy až 50% na <a href=""https://www.sportovni-eshop.cz/""><span style=""color:#800080;"">Sportovni-eshop.cz</span></a></strong></span></span>"
4c1dbb75-5f60-49e5-bb5b-b91aeff40b1e,Tenisové boty,tenisove-boty,1ba42afc-fbec-4599-8f57-e81421bb9889,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">Vstupte na kurt s našimi špičkovými <strong>tenisovými botami</strong>! Nabízíme <strong>tenisové boty</strong> pro všechny hráče - od začátečníků po profesionály. S technologickými inovacemi a maximálním pohodlím vám <strong>tenisová obuv</strong> umožní dosáhnout nejlepšího výkonu. S výběrem pro různé povrchy a styly hry si můžete vybrat <strong>boty</strong>, které perfektně odpovídají vašim potřebám. </span></span>"
e35e9aca-c505-4e30-a32c-660f772922e6,Tenisové míče,tenisove-mice,1ba42afc-fbec-4599-8f57-e81421bb9889,"<span style=""font-family:verdana,geneva,sans-serif;""><span style=""font-size:14px;"">Užijte si dokonalou hru s našimi <strong>tenisovými míči!</strong> Naše kategorie nabízí široký výběr kvalitních <strong>tenisových míčů</strong>, které splňují nejvyšší standardy. S různými typy povrchů a rychlostí máte možnost vybrat si míče přesně podle svých preferencí. Vyberte si své vítězné tenisové míče a bavte se na kurtech jako profesionál!</span></span>"
